Title,Link
,https://fssai.gov.in
Food Law,https://fssai.gov.in/index.php?page=act-rules-regulations.php
Businesses,https://fssai.gov.in/index.php?page=businesses.php
Standards,https://fssai.gov.in/index.php?page=standards.php
Food Testing,https://fssai.gov.in/index.php?page=food-testing.php
Inspections,https://fssai.gov.in/index.php?page=inspections.php
International Co-operation,https://fssai.gov.in/cms/international-co-operation.php
Citizens,https://fssai.gov.in/index.php?page=citizens.php
States,https://fssai.gov.in/index.php?page=states.php
About Us,https://fssai.gov.in/index.php?page=about-us.php
हिंदी,https://fssai.gov.in/hi
Screen Reader Access,https://fssai.gov.in/screenreader.php
,https://fssai.gov.in/notifications.php?notification=draft-notification#main
,https://fssai.gov.in/notifications.php?notification=draft-notification
,javascript:void(0)
,javascript:void(0)
,javascript:void(0)
,https://fssai.gov.in/notifications.php?notification=draft-notification
,https://twitter.com/fssaiindia
,https://www.facebook.com/fssai
,https://www.instagram.com/fssai_safefood/
,https://www.linkedin.com/company/100777750/admin/feed/posts/
,https://www.youtube.com/user/FoodsafetyinIndia
,https://fssai.gov.in/notifications.php?notification=draft-notification
,javascript:void(0)
,javascript:void(0)
,javascript:void(0)
,javascript:void(0)
,https://fssai.gov.in/search.php
,https://fssai.gov.in/sitemap.php
"Act, 2006",https://fssai.gov.in/cms/act-2006.php
Food Safety and Standards Act 2006,https://fssai.gov.in/cms/food-safety-and-standards-act-2006.php
"Rules, 2011",https://fssai.gov.in/cms/food-safety-and-standards-rules--2011.php
"Food Safety and Standards Rules, 2011",https://fssai.gov.in/cms/food-safety-and-standards-rules--2011.php
Regulations,https://fssai.gov.in/cms/food-safety-and-standards-regulations.php
Food Safety and Standards Regulations,https://fssai.gov.in/cms/food-safety-and-standards-regulations.php
FoSCoS,https://foscos.fssai.gov.in/
Advisories/Orders,https://fssai.gov.in/cms/advisories.php
Food Recall,https://fssai.gov.in/cms/food-recall.php
Notifications,https://fssai.gov.in/cms/notice-for-comments.php
Notice for Comments,https://fssai.gov.in/cms/notice-for-comments.php
Draft Notification,https://fssai.gov.in/cms/draft-notification.php
Gazette Notification,https://fssai.gov.in/cms/gazette-notification.php
Ordinary Notification,https://fssai.gov.in/cms/ordinary-notification.php
WTO TBT Notification,https://fssai.gov.in/cms/wto-tbt-notification.php
WTO SPS Notifications,https://fssai.gov.in/cms/wto-sps-notification.php
Codex,https://fssai.gov.in/cms/codex.php
Brief of Codex Committee,https://fssai.gov.in/cms/briefcodexsession.php
Codex India,https://fssai.gov.in/cms/c-codexindia.php
FAO WHO CODEX TRUST FUND,https://fssai.gov.in/cms/fao-who-codex-trust-fund.php
CCASIA,https://fssai.gov.in/cms/codexccasia.php
CCASIA 21,https://fssai.gov.in/cms/codexccasia21.php
CCASIA20,https://fssai.gov.in/cms/ccasia20.php
Codex Videos,https://fssai.gov.in/cms/codexvideos.php
ReFoM,https://sites.fssai.gov.in/refom/
Fortification,https://fortification.fssai.gov.in/
100 Food Streets,https://eatrightindia.gov.in/100hhfs/
NSC,https://nsc.fssai.gov.in/
Citizen Charter,https://fssai.gov.in/upload/687733e663838FSSAI_Citizens_Charter_2024-25.pdf
Regional Offices,https://www.fssai.gov.in/
East Region,https://eastregion.fssai.gov.in/
South Region,https://southregion.fssai.gov.in/
West Region,https://westregion.fssai.gov.in/
North Region,https://northregion.fssai.gov.in/
Events,https://fssai.gov.in/events.php
Consumer Grievance,https://fssai.gov.in/cms/food-safety-connect.php
Media,https://fssai.gov.in/cms/media.php
Press Release,https://fssai.gov.in/cms/press-release.php
In The News,https://fssai.gov.in/in-the-media-all.php
Compendium,https://fssai.gov.in/cms/compendium.php
Media Roundup (Monthly),https://fssai.gov.in/cms/mediamonthly.php
Special Coverage Reports,https://fssai.gov.in/cms/specialcoverage.php
Media Query,https://fssai.gov.in/cms/mediaquery.php
Blogs,https://blogs.fssai.gov.in/
Home,https://fssai.gov.in
Food Law,https://fssai.gov.in/notifications.php?notification=draft-notification
Notifications,https://fssai.gov.in/notifications.php?notification=draft-notification
Online Comments,https://comments.fssai.gov.in/Bestviewwl.aspx?NOTIFICATION_ID=4419
Online Comments,https://comments.fssai.gov.in/Bestviewwl.aspx?NOTIFICATION_ID=4419
Format for submitting the comments and suggestionssize:( 0.21 MB),https://fssai.gov.in/upload/uploadfiles/files/format%20for%20public%20comments(1).pdf
Downloadsize:( 2.03 MB),https://fssai.gov.in/upload/uploadfiles/files/Notification%20dt%2004_06_2025-Cheese%20powder%20draft.pdf
Online Comments,https://comments.fssai.gov.in/Bestviewwl.aspx?NOTIFICATION_ID=4415
Online Comments,https://comments.fssai.gov.in/Bestviewwl.aspx?NOTIFICATION_ID=4415
Format for submitting the comments and suggestionssize:( 0.21 MB),https://fssai.gov.in/upload/uploadfiles/files/Format%20for%20public%20comments%20-%20Labelling%20and%20Display%20Amendment%20Regulations%202025.pdf
Downloadsize:( 1.82 MB),https://fssai.gov.in/upload/uploadfiles/files/Draft%20FSS_Labelling%20and%20Display_Amendment%20Regulations_2025.pdf
Online Comments,https://comments.fssai.gov.in/Bestviewwl.aspx?NOTIFICATION_ID=4416
Online Comments,https://comments.fssai.gov.in/Bestviewwl.aspx?NOTIFICATION_ID=4416
Format for submitting the comments and suggestionssize:( 0.21 MB),https://fssai.gov.in/upload/uploadfiles/files/Format%20for%20public%20comments%20-%20Laboratory%20and%20Sample%20Analysis%20Amendment%20Regulations%202025.pdf
Downloadsize:( 1.8 MB),https://fssai.gov.in/upload/uploadfiles/files/Draft%20FSS_Laboratory%20and%20Sampling%20Analysis_Amendment%20Regulations_2025.pdf
Myth Buster,https://fssai.gov.in/cms/myth-buster.php
Annual Report,https://fssai.gov.in/knowledge-hub.php?hubname=Annual-Report
Creative Catalogue,https://eatrightindia.gov.in/creativecatalogue/home
Video Library,"https://fssai.gov.in/knowledge-hub.php?hubname=Video,Audio,Photos"
"Books, Reports & Manuals","https://fssai.gov.in/knowledge-hub.php?hubname=Book,Report,Manuals"
Status of NSF & FI applications,https://fssai.gov.in/upload/uploadfiles/files/Status of Applications as on 10th July 2025.pdf
Food Authority,https://fssai.gov.in/cms/food-authority.php
Internal Admin,https://fssai.gov.in/cms/internal-administration.php
Right to Information Act (RTI),https://fssai.gov.in/cms/right-to-information-act-rti.php
Vigilance,https://fssai.gov.in/cms/vigilance.php
Organization Directory,https://fssai.gov.in/cms/directory.php
FAQs,https://fssai.gov.in/cms/compliancefaq.php
Regional Directors,https://fssai.gov.in/cms/regionaldirectors.php
Authorized Officers,https://fssai.gov.in/cms/authorised-officer.php
Grievance,https://fssai.gov.in/cms/grievance.php
NFLs,https://fssai.gov.in/cms/nfl.php
Global Food Safety Partnership (GFSP),https://fssai.gov.in/cms/multilateral-engagements.php
"International Food Safety & Applied Nutrition,  Mumbai (with EIC)",https://fssai.gov.in/cms/partnership.php
CHIFFS (with CII),https://fssai.gov.in/cms/chiffs-with-cii.php
Meetings (Authority @ CAC),https://fssai.gov.in/cms/authoritycacmeetings.php
NIFTEM Newsletter,https://fssai.gov.in/cms/niftem.php
KRCDC (Library),https://eg4.nic.in/cgovlib1/opac/
Guidance Notes,https://fssai.gov.in/cms/guidance-notes.php
Jobs @ fssai (Careers),https://fssai.gov.in/cms/jobs--fssai-careers.php
Internship @ FSSAI,https://fssai.gov.in/cms/internship-fssai.php
IEC @ Reports,https://fssai.gov.in/cms/iecreports.php
Tenders / EOI,https://fssai.gov.in/cms/tenders.php
Preamble,https://fssai.gov.in/cms/preamble.php
Contact Us,https://fssai.gov.in/cms/contactus.php
Disclaimer,https://fssai.gov.in/cms/disclaimer.php
Website Policies,https://fssai.gov.in/cms/website-policies.php
Newsletters,https://fssai.gov.in/cms/newsletters.php
Web Information Manager,https://fssai.gov.in/cms/web-information-manager.php
CPIOs,https://fssai.gov.in/cms/cpios.php
Court Orders,https://fssai.gov.in/cms/court-orders.php
Help,https://fssai.gov.in/cms/help.php
Internship @ Report,https://fssai.gov.in/cms/internshipreport.php
Feedback,https://fssai.gov.in/feedback-form.php
Archive,https://fssai.gov.in/archive.php
Repealed Acts / Orders,https://fssai.gov.in/cms/repealed-acts-orders.php
